,district_Name,property_size,property_price
1,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
3,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
5,فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375 م²,"3,700,000 ريال"
7,فيلا للبيع في شارع الفانوس ، حي الفيحاء ، الرياض ، الرياض,700 م²,"2,200,000 ريال"
9,فيلا للبيع في شارع القناني ، حي عكاظ ، الرياض ، الرياض,350 م²,"980,000 ريال"
11,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,100,000 ريال"
13,فيلا للبيع في شارع احمد الكازرونى ، حي المهدية ، الرياض ، الرياض,200 م²,"1,430,000 ريال"
15,"فيلا للبيع في شارع ابو عبيده النابلسي, حي عكاظ, الرياض",506 م²,"1,300,000 ريال"
17,فيلا للبيع في شارع عبدالله بن عقيل ، حي ظهرة البديعة ، الرياض ، الرياض,216 م²,"1,230,000 ريال"
19,فيلا للبيع في شارع ابي القاسم السبتي ، حي الرمال ، الرياض ، الرياض,300 م²,"1,280,000 ريال"
21,فيلا للبيع في شارع ابي الطيب ، حي بدر ، الرياض ، الرياض,300 م²,"1,050,000 ريال"
23,فيلا للبيع في شارع الصفار الذهبي ، حي عكاظ ، الرياض ، الرياض,308 م²,"1,200,000 ريال"
25,فيلا للبيع في حي الرمال ، الرياض ، الرياض,324 م²,"1,500,000 ريال"
27,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,110,000 ريال"
29,فيلا للبيع في شارع خيمر ، حي عكاظ ، الرياض ، الرياض,327 م²,"1,095,000 ريال"
31,فيلا للبيع في حي الملقا ، الرياض ، الرياض,336 م²,"3,300,000 ريال"
33,فيلا للبيع في شارع البنيان ، حي الغدير ، الرياض ، الرياض,600 م²,"4,200,000 ريال"
35,فيلا للبيع في شارع اسماعيل بن ابراهيم الربعي ، حي طويق ، الرياض ، الرياض,230 م²,"1,350,000 ريال"
37,فيلا للبيع في حي بدر ، الرياض ، الرياض,360 م²,"1,140,000 ريال"
39,فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,500,000 ريال"
41,فيلا للبيع في شارع الكواكب ، حي القادسية ، الرياض,375 م²,"1,960,000 ريال"
43,فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,160,000 ريال"
45,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
47,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
49,فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,325 م²,"1,100,000 ريال"
51,فيلا للبيع في شارع حمزه العدوي ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
